date,open,high,low,close,volume,oi
12/19/1990,96.05,99.98,95.79,99.98,1260,0
12/20/1990,104.3,104.39,99.98,104.39,197,0
12/21/1990,109.07,109.13,103.73,109.13,28,0
12/24/1990,113.57,114.55,109.13,114.55,32,0
12/25/1990,120.09,120.25,114.55,120.25,15,0
12/26/1990,125.27,125.27,120.25,125.27,100,0
12/27/1990,125.27,125.28,125.27,125.28,66,0
12/28/1990,126.39,126.45,125.28,126.45,108,0
12/31/1990,126.56,127.61,126.48,127.61,78,0
01/02/1991,127.61,128.84,127.61,128.84,91,0
01/03/1991,128.84,130.14,128.84,130.14,141,0
01/04/1991,131.27,131.44,130.14,131.44,420,0
01/07/1991,131.99,132.06,131.45,132.06,217,0
01/08/1991,132.62,132.68,132.06,132.68,2926,0
01/09/1991,133.3,133.34,132.68,133.34,5603,0
01/10/1991,133.93,133.97,133.34,133.97,9990,0
01/11/1991,134.61,134.61,134.51,134.6,13327,0
01/14/1991,134.11,135.19,134.11,134.67,12530,0
01/15/1991,134.21,134.74,134.19,134.74,1446,0
01/16/1991,134.19,134.74,134.14,134.24,509,0
01/17/1991,133.67,134.25,133.65,134.25,658,0
01/18/1991,133.7,134.25,133.67,134.24,3004,0
01/21/1991,133.7,134.24,133.66,134.24,2051,0
01/22/1991,133.72,134.24,133.66,133.72,354,0
01/23/1991,133.17,133.72,133.14,133.17,1095,0
01/24/1991,132.61,133.17,132.57,132.61,1857,0
01/25/1991,132.05,132.07,132.03,132.05,3447,0
01/28/1991,131.46,131.55,131.46,131.46,5107,0
01/29/1991,130.95,130.97,130.95,130.95,1387,0
01/30/1991,130.44,130.95,130.41,130.44,527,0
01/31/1991,129.93,130.46,129.93,129.97,510,0
02/01/1991,129.5,129.97,129.45,129.51,345,0
02/04/1991,129.05,129.58,129.05,129.05,553,0
02/05/1991,128.56,128.58,128.53,128.58,8562,0
02/06/1991,129.13,129.15,128.06,129.14,6641,0
02/07/1991,129.74,129.79,129.14,129.79,2133,0
02/08/1991,130.36,130.39,129.79,130.38,1234,0
02/11/1991,130.92,130.97,130.39,130.97,9317,0
02/12/1991,131.54,131.56,130.97,131.35,3774,0
02/13/1991,131.93,131.93,131.35,131.92,1152,0
02/14/1991,132.53,132.53,132.3,132.53,3624,0
02/19/1991,133.12,133.14,133.08,133.13,1748,0
02/20/1991,133.63,133.67,133.13,133.67,876,0
02/21/1991,134.24,134.28,133.67,134.28,3220,0
02/22/1991,134.85,134.87,134.28,134.87,3427,0
02/25/1991,134.37,134.87,134.33,134.4,810,0
02/26/1991,133.9,134.44,133.9,133.93,1094,0
02/27/1991,133.44,133.98,133.44,133.47,214,0
02/28/1991,132.99,133.52,132.98,133.01,2258,0
03/01/1991,132.53,132.53,132.47,132.53,7124,0
03/04/1991,132.09,132.09,131.98,131.99,2518,0
03/05/1991,131.42,131.99,131.41,131.46,982,0
03/06/1991,130.89,130.95,130.89,130.94,719,0
03/07/1991,130.41,130.94,130.41,130.41,568,0
03/08/1991,129.84,130.41,129.84,129.89,933,0
03/11/1991,129.3,129.89,129.3,129.31,514,0
03/12/1991,128.73,129.31,128.73,128.77,957,0
03/13/1991,126.13,128.77,126.13,126.15,498,0
03/14/1991,125.61,126.15,125.61,125.63,326,0
03/15/1991,125.08,125.62,125.08,125.17,790,0
03/18/1991,124.7,125.17,124.69,124.71,1250,0
03/19/1991,124.23,124.71,124.22,124.22,892,0
03/20/1991,123.66,124.21,123.63,123.66,678,0
03/21/1991,123.14,123.66,123.12,123.12,151,0
03/22/1991,122.62,123.12,122.62,122.62,207,0
03/25/1991,122.12,122.62,122.1,122.12,443,0
03/26/1991,121.62,122.14,121.62,121.62,1164,0
03/27/1991,121.12,121.64,121.12,121.12,668,0
03/28/1991,120.65,121.15,120.61,120.61,961,0
03/29/1991,120.16,120.61,120.11,120.19,2185,0
04/01/1991,120.69,120.73,119.68,120.73,11999,0
04/02/1991,121.21,121.29,120.73,121.21,816,0
04/03/1991,121.71,121.71,121.21,121.71,2063,0
04/04/1991,122.2,122.2,121.24,121.72,10517,0
04/05/1991,121.07,121.73,121.03,121.54,11589,0
04/08/1991,121.11,121.11,121.05,121.09,1862,0
04/09/1991,120.6,121.1,120.6,120.62,320,0
04/10/1991,120.15,120.62,120.09,120.16,466,0
04/11/1991,119.64,120.16,119.62,119.64,239,0
04/12/1991,119.2,119.65,119.15,119.21,399,0
04/15/1991,118.73,119.22,118.72,118.77,301,0
04/16/1991,118.36,118.77,118.34,118.34,105,0
04/17/1991,117.92,118.34,117.89,117.9,201,0
04/18/1991,117.45,117.93,117.45,117.45,178,0
04/19/1991,117.08,117.5,117.05,117.08,646,0
04/22/1991,116.63,117.08,116.58,116.63,430,0
04/23/1991,116.21,116.63,116.15,116.19,282,0
04/24/1991,115.7,116.19,115.7,115.79,148,0
04/25/1991,115.38,115.79,115.33,115.36,1495,0
04/26/1991,116.31,116.31,114.52,115.56,13354,0
04/29/1991,114.86,116.29,114.75,114.75,8411,0
04/30/1991,113.89,114.87,113.89,113.94,4850,0
05/02/1991,113.04,113.2,113.03,113.16,1465,0
05/03/1991,112.46,113.17,112.3,112.41,4230,0
05/06/1991,111.65,112.41,111.57,111.61,2764,0
05/07/1991,110.8,110.9,110.8,110.82,1875,0
05/08/1991,110.16,110.82,110,110.03,423,0
05/09/1991,109.36,110.12,109.29,109.29,2266,0
05/10/1991,108.61,109.4,108.53,108.53,249,0
05/13/1991,107.88,107.88,107.74,107.84,235,0
05/14/1991,107.21,107.84,107.06,107.19,267,0
05/15/1991,106.56,106.6,106.42,106.57,390,0
05/16/1991,105.83,105.86,105.69,105.77,3108,0
05/17/1991,105.12,106.75,104.96,106.75,20192,0
05/20/1991,107.76,107.82,106.71,107.82,863,0
05/21/1991,108.89,108.89,108.62,108.81,771,0
05/22/1991,109.71,109.82,108.11,108.25,18677,0
05/23/1991,107.52,109.16,107.35,109.08,5609,0
05/24/1991,110.07,110.08,109.82,110.08,1024,0
05/27/1991,111.05,111.07,109.47,110.66,8619,0
05/28/1991,111.61,111.68,111.36,111.68,1630,0
05/29/1991,112.75,112.75,111.67,112.75,530,0
05/30/1991,113.74,113.82,112.77,113.82,388,0
